index,ms
516,6.965
517,11.488
518,6.248
519,10.703
520,6.297
521,6.072
522,7.961
523,16.028
524,14.890
525,12.338
526,7.453
527,8.647
528,13.511
529,6.375
530,6.569
531,11.461
532,6.850
533,5.979
534,11.111
535,6.225
536,13.249
537,13.289
538,13.040
539,12.921
540,7.725
541,11.975
542,6.875
543,12.680
544,13.227
545,7.797
546,17.037
547,7.780
548,14.673
549,13.667
550,7.961
551,17.432
552,10.231
553,16.369
554,18.251
555,10.931
556,15.986
557,17.021
558,18.263
559,17.886
560,20.219
561,16.665
562,13.847
563,9.502
564,17.248
565,11.069
566,12.744
567,13.768
568,8.394
569,8.011
570,6.933
571,16.644
572,19.177
573,12.500
574,15.635
575,19.459
576,17.455
577,16.666
578,21.809
579,22.753
580,21.966
581,17.866
582,13.450
583,16.247
584,17.279
585,9.171
586,16.206
587,15.528
588,16.723
589,9.195
590,17.599
591,10.186
592,18.848
593,9.970
594,18.154
595,12.615
596,20.410
597,11.504
598,13.661
599,13.768
600,13.035
601,23.822
602,12.892
603,24.494
604,18.603
605,17.275
606,15.922
607,17.565
608,16.491
609,25.596
610,16.407
611,25.002
612,15.944
613,19.553
614,19.256
615,19.563
616,18.373
617,29.053
618,19.959
619,19.184
620,18.901
621,18.102
622,16.085
623,14.732
624,17.200
625,10.743
626,11.717
627,11.933
628,17.597
629,18.506
630,8.655
631,15.663
632,18.824
633,15.714
634,16.180
635,8.688
636,8.579
637,18.486
638,18.994
639,17.701
640,18.973
641,19.594
642,9.533
643,22.369
644,14.592
645,24.809
646,25.014
647,24.601
648,13.092
649,22.315
650,23.648
651,20.888
652,11.551
653,25.303
654,13.984
655,25.312
656,24.228
657,19.120
658,17.972
659,19.553
660,10.581
661,18.148
662,10.034
663,11.236
664,16.262
665,10.334
666,18.036
667,16.635
668,16.211
669,19.915
670,10.797
671,20.869
672,12.267
673,25.798
674,21.709
675,18.811
676,22.749
677,11.634
678,12.308
679,21.259
680,25.955
681,12.537
682,12.764
683,16.143
684,17.185
685,11.020
686,16.354
687,17.941
688,14.406
689,10.077
690,10.019
691,5.950
692,13.948
693,20.486
694,24.792
695,13.020
696,19.152
697,20.534
698,17.531
699,23.549
700,22.625
701,13.559
702,39.156
703,27.618
704,28.083
705,14.097
706,29.075
707,13.421
708,13.653
709,35.884
710,13.200
711,40.498
712,10.381
713,20.965
714,9.989
715,6.225
716,7.688
717,14.575
718,7.605
719,7.007
720,6.980
721,12.741
722,6.889
723,7.101
724,11.105
725,6.864
726,11.134
727,6.141
728,6.004
729,15.466
730,6.384
731,16.190
732,11.418
733,6.956
734,11.339
735,6.091
736,11.773
737,8.646
738,7.536
739,6.802
740,6.875
741,6.953
742,14.196
743,9.070
744,17.896
745,14.099
746,6.828
747,14.469
748,9.078
749,14.741
750,7.988
751,15.980
752,17.795
753,16.654
754,7.569
755,8.309
756,19.140
757,10.765
758,10.684
759,6.716
760,6.706
761,11.782
762,8.602
763,19.416
764,10.271
765,17.744
766,7.889
767,9.873
768,9.605
769,16.613
770,9.423
771,17.656
772,10.041
773,10.881
774,9.835
775,8.907
776,19.070
777,10.152
778,16.813
779,17.185
780,11.821
781,16.986
782,6.642
783,13.286
784,7.141
785,18.589
786,13.607
787,7.829
788,9.085
789,10.769
790,11.781
791,20.494
792,22.782
793,17.386
794,16.730
795,9.060
796,11.346
797,17.925
798,21.317
799,9.293
800,9.865
801,10.049
802,10.915
803,19.358
804,12.452
805,10.590
806,19.996
807,10.300
808,18.804
809,10.534
810,22.715
811,28.805
812,11.564
813,22.285
814,26.036
815,23.872
816,25.117
817,20.285
818,12.832
819,18.720
820,10.614
821,18.104
822,10.901
823,10.733
824,19.361
825,20.003
826,13.185
827,16.843
828,12.008
829,22.082
830,11.093
831,20.987
832,9.581
833,21.317
834,7.422
835,14.324
836,7.270
837,7.218
838,18.634
839,7.327
840,21.668
841,9.981
842,20.845
843,18.609
844,18.180
845,9.548
846,18.964
847,19.000
848,17.523
849,10.413
850,10.574
851,9.969
852,18.590
853,9.214
854,19.251
855,10.312
856,20.069
857,9.622
858,9.722
859,10.474
860,9.913
861,20.637
862,11.610
863,20.154
864,18.736
865,30.868
866,18.343
867,10.838
868,17.325
869,19.334
870,20.283
871,10.018
872,12.029
873,9.941
874,10.054
875,17.069
876,16.183
877,16.753
878,9.125
879,18.048
880,9.141
881,10.651
882,10.080
883,10.671
884,18.276
885,9.894
886,9.472
887,10.624
888,9.110
889,17.736
890,9.847
891,19.555
892,16.704
893,8.037
894,8.971
895,17.401
896,17.764
897,10.612
898,9.363
899,12.415
900,20.650
901,10.760
902,19.172
903,17.155
904,10.765
905,9.923
906,17.500
907,10.295
908,19.643
909,23.787
910,54.026
911,23.491
912,18.203
913,19.228
914,25.545
915,13.950
916,13.741
917,12.950
918,23.559
919,9.572
920,19.491
921,10.649
922,17.790
923,9.907
924,10.586
925,10.021
926,19.269
927,10.688
928,9.774
929,10.299
930,19.121
931,16.651
932,17.569
933,18.217
934,18.335
935,18.147
936,10.095
937,17.821
938,9.415
939,9.900
940,10.514
941,18.999
942,11.855
943,22.105
944,9.855
945,23.334
946,10.247
947,10.505
948,18.403
949,9.510
950,23.188
951,19.092
952,20.091
953,17.031
954,9.960
955,19.835
956,16.669
957,15.540
958,20.077
959,10.776
960,9.917
961,18.002
962,11.002
963,22.440
964,10.269
965,19.279
966,19.518
967,13.384
968,25.452
969,11.049
970,18.885
971,27.888
972,11.615
973,10.663
974,18.697
975,10.539
976,10.531
977,18.915
978,18.939
979,21.117
980,11.840
981,22.082
982,12.192
983,19.602
984,20.211
985,21.807
986,11.109
987,23.525
988,14.666
989,21.982
990,10.002
991,9.005
992,16.654
993,9.439
994,8.942
995,16.419
996,16.824
997,17.532
998,10.122
999,17.756
1000,9.933
1001,9.303
1002,15.942
1003,10.479
1004,16.443
1005,8.180
1006,6.188
1007,12.463
1008,7.696
1009,6.906
1010,6.908
1011,12.569
1012,13.247
1013,7.366
1014,19.124
1015,9.054
1016,17.243
1017,16.369
1018,17.863
1019,17.833
1020,10.059
1021,19.574
1022,10.903
1023,17.594
1024,10.586
1025,10.461
1026,9.999
1027,9.572
1028,16.287
1029,10.677
1030,9.297
1031,17.012
1032,18.617
1033,10.088
1034,17.358
1035,18.980
1036,17.271
1037,18.039
1038,17.452
1039,26.313
1040,19.438
1041,34.316
1042,23.643
1043,24.481
1044,25.076
1045,11.074
1046,18.984
1047,10.825
1048,18.322
1049,16.116
1050,8.388
1051,17.635
1052,19.379
1053,10.215
1054,10.057
1055,10.598
1056,18.460
1057,16.981
1058,16.920
1059,9.278
1060,17.797
1061,16.707
1062,10.927
1063,9.491
1064,10.605
1065,10.256
1066,20.117
1067,10.616
1068,10.093
1069,17.504
1070,22.345
1071,13.328
1072,14.756
1073,20.922
1074,20.189
1075,11.215
1076,12.987
1077,13.273
1078,26.400
1079,10.060
1080,10.502
1081,19.376
1082,53.115
1083,11.643
1084,11.182
1085,11.883
1086,24.621
1087,126.328
1088,9.267
1089,19.689
1090,75.801
1091,9.486
1092,9.616
1093,18.556
1094,50.439
1095,8.682
1096,10.889
1097,18.692
1098,76.849
1099,13.141
1100,8.960
1101,12.008
1102,5.919
1103,6.112
1104,10.874
1105,44.651
1106,12.341
1107,18.262
1108,39.556
1109,11.361
1110,21.171
1111,55.622
1112,12.300
1113,23.553
1114,12.101
1115,19.142
1116,66.707
1117,10.366
1118,19.520
1119,41.634
1120,17.985
1121,17.821
1122,9.586
1123,21.393
1124,10.406
1125,17.951
1126,6.261
1127,13.483
1128,7.166
1129,7.286
1130,6.928
1131,6.907
1132,7.623
1133,14.028
1134,14.333
1135,7.964
1136,17.446
