index,ms
223,20.106
224,17.192
225,21.109
226,17.922
227,23.208
228,11.125
229,21.477
230,12.622
231,13.527
232,10.771
233,18.451
234,10.365
235,28.040
236,10.572
237,28.421
238,11.033
239,10.126
240,17.950
241,9.028
242,21.522
243,22.594
244,17.900
245,19.127
246,10.289
247,18.358
248,18.055
249,17.265
250,22.178
251,13.480
252,13.346
253,24.548
254,13.100
255,23.728
256,11.594
257,22.072
258,24.431
259,13.782
260,21.561
261,12.866
262,23.108
263,26.505
264,9.301
265,11.280
266,17.993
267,10.232
268,9.400
269,16.295
270,20.048
271,22.132
272,10.860
273,20.076
274,9.640
275,17.966
276,17.308
277,18.566
278,10.500
279,17.882
280,10.910
281,19.416
282,10.526
283,11.188
284,19.742
285,11.094
286,11.138
287,18.800
288,18.233
289,18.918
290,10.279
291,19.277
292,10.691
293,9.899
294,19.015
295,10.939
296,18.817
297,12.731
298,12.634
299,18.028
300,11.068
301,11.663
302,11.389
303,19.962
304,18.668
305,10.300
306,20.311
307,10.714
308,16.478
309,13.578
310,14.134
311,14.381
312,8.902
313,12.482
314,8.141
315,15.491
316,9.830
317,10.427
318,8.686
319,8.288
320,12.665
321,7.034
322,6.782
323,14.656
324,12.104
325,7.029
326,16.869
327,24.540
328,21.190
329,24.565
330,25.212
331,33.502
332,18.651
333,29.204
334,12.842
335,16.526
336,20.137
337,12.445
338,23.671
339,13.446
340,22.510
341,23.322
342,12.894
343,24.215
344,24.213
345,13.605
346,12.397
347,10.419
348,17.197
349,15.356
350,15.153
351,8.411
352,16.926
353,18.729
354,10.727
355,9.742
356,12.191
357,11.368
358,20.255
359,12.657
360,10.695
361,19.866
362,24.957
363,13.723
364,14.687
365,24.157
366,22.859
367,13.064
368,14.376
369,13.198
370,25.349
371,12.178
372,13.487
373,23.342
374,48.963
375,8.765
376,6.952
377,7.683
378,14.778
379,92.876
380,6.979
381,15.917
382,54.208
383,11.000
384,11.252
385,21.704
386,65.048
387,11.290
388,13.062
389,26.240
390,110.085
391,23.438
392,13.904
393,24.589
394,13.224
395,12.794
396,23.430
397,71.776
398,11.269
399,18.783
400,39.015
401,10.005
402,18.100
403,57.701
404,14.378
405,25.528
406,13.492
407,25.456
408,67.320
409,11.118
410,22.347
411,52.517
412,20.487
413,20.773
414,13.797
415,19.575
416,9.113
417,17.149
418,9.015
419,19.285
420,9.978
421,11.094
422,11.496
423,10.401
424,10.935
425,20.743
426,21.238
427,12.135
428,20.389
429,7.625
430,18.731
431,11.781
432,13.225
433,11.999
434,19.820
435,11.065
436,25.420
437,12.974
438,12.949
439,34.815
440,26.610
441,19.716
442,10.752
443,10.113
444,10.736
445,19.650
446,20.248
447,19.070
448,10.265
449,19.454
450,9.908
451,10.083
