index,ms
996,26.699
997,21.043
998,20.398
999,26.685
1000,20.136
1001,13.865
1002,21.010
1003,20.383
1004,20.745
1005,20.097
1006,14.031
1007,20.944
1008,20.327
1009,20.394
1010,20.444
1011,20.944
1012,20.740
1013,13.876
1014,27.841
1015,20.116
1016,21.001
1017,20.850
1018,20.685
1019,20.928
1020,13.995
1021,27.420
1022,20.292
1023,20.648
1024,20.059
1025,20.044
1026,20.084
1027,13.998
1028,20.745
1029,20.400
1030,14.023
1031,20.986
1032,27.458
1033,20.140
1034,20.713
1035,20.773
1036,20.767
1037,20.728
1038,20.933
1039,34.000
1040,21.039
1041,33.623
1042,26.722
1043,21.001
1044,27.444
1045,14.016
1046,20.652
1047,20.362
1048,20.934
1049,20.960
1050,20.080
1051,20.771
1052,26.707
1053,20.129
1054,20.351
1055,20.132
1056,20.738
1057,20.760
1058,20.730
1059,13.889
1060,20.723
1061,26.774
1062,20.381
1063,13.867
1064,20.361
1065,20.079
1066,27.059
1067,20.101
1068,20.157
1069,20.758
1070,27.727
1071,13.923
1072,20.093
1073,21.040
1074,20.948
1075,13.904
1076,20.151
1077,20.437
1078,26.711
1079,13.873
1080,20.118
1081,20.710
1082,64.394
1083,20.059
1084,13.874
1085,13.898
1086,20.720
1087,401.798
1088,25.823
1089,28.490
1090,208.452
1091,34.766
1092,26.746
1093,30.420
1094,199.127
1095,33.813
1096,26.613
1097,27.590
1098,306.156
1099,38.828
1100,27.570
1101,31.316
1102,14.272
1103,13.813
1104,20.440
1105,164.588
1106,37.219
1107,27.748
1108,44.585
1109,13.967
1110,20.823
1111,174.094
1112,30.736
1113,36.515
1114,15.521
1115,20.709
1116,63.092
1117,13.828
1118,20.224
1119,47.760
1120,20.226
1121,20.273
1122,13.809
1123,26.375
1124,13.819
1125,26.347
1126,13.813
1127,26.264
1128,13.750
1129,13.775
1130,19.826
1131,13.707
1132,19.882
1133,26.084
1134,20.544
1135,13.724
1136,26.264
1137,13.691
1138,25.981
1139,13.824
1140,13.726
1141,13.758
1142,20.157
1143,13.745
1144,26.028
1145,13.822
1146,19.927
1147,32.705
1148,26.323
1149,21.496
1150,19.609
1151,13.796
1152,19.948
1153,26.361
1154,26.712
1155,20.502
1156,19.753
1157,26.059
