index,ms
942,20.260
943,34.929
944,20.189
945,34.555
946,20.309
947,14.053
948,20.894
949,13.921
950,27.431
951,20.878
952,27.072
953,27.508
954,14.019
955,20.593
956,27.806
957,20.838
958,26.702
959,20.205
960,19.975
961,20.872
962,13.902
963,20.873
964,20.039
965,27.428
966,20.689
967,20.029
968,27.397
969,20.254
970,26.721
971,33.689
972,19.928
973,20.269
974,20.722
975,20.249
976,14.109
977,26.781
978,26.749
979,20.829
980,13.993
981,20.628
982,13.907
983,20.956
984,20.587
985,20.631
986,19.957
987,20.625
988,20.301
989,26.698
990,20.229
991,20.012
992,26.664
993,20.261
994,20.320
995,20.666
996,26.659
997,20.879
998,20.251
999,26.697
1000,20.009
1001,13.847
1002,20.913
1003,20.296
1004,20.558
1005,19.994
1006,14.040
1007,20.891
1008,20.281
1009,20.234
1010,20.258
1011,20.792
1012,20.613
1013,13.894
1014,27.767
1015,20.021
1016,20.922
1017,20.623
1018,20.649
1019,20.891
1020,14.027
1021,27.468
1022,20.230
1023,20.643
1024,20.087
1025,20.020
1026,20.029
1027,14.045
1028,20.623
1029,20.119
1030,13.986
1031,20.853
1032,27.528
1033,20.031
1034,20.655
1035,20.635
1036,20.669
1037,20.631
1038,20.966
1039,34.017
1040,20.926
1041,33.738
1042,26.670
1043,20.881
1044,27.435
1045,14.066
1046,20.623
1047,20.255
1048,20.910
1049,20.874
1050,19.997
1051,20.650
1052,26.732
1053,19.937
1054,20.229
1055,19.987
1056,20.682
1057,20.641
1058,20.606
1059,13.868
1060,20.642
1061,26.681
1062,20.244
1063,13.913
1064,20.265
1065,20.087
1066,27.034
1067,20.001
1068,20.007
1069,20.612
1070,27.738
1071,13.846
1072,19.989
1073,20.911
1074,20.853
1075,13.873
1076,19.871
1077,20.218
1078,26.699
1079,13.925
1080,20.069
1081,20.581
1082,65.476
1083,20.183
1084,14.054
1085,13.989
1086,20.736
1087,395.672
1088,22.176
1089,28.531
1090,202.379
1091,31.001
1092,20.550
1093,33.978
1094,199.539
1095,35.885
1096,24.135
1097,29.158
1098,280.079
1099,31.626
1100,24.896
1101,29.289
1102,13.926
1103,13.706
1104,20.202
1105,169.785
1106,31.279
1107,27.943
1108,45.071
1109,13.879
1110,20.377
1111,162.936
1112,29.123
1113,33.098
1114,14.369
1115,20.292
1116,63.315
1117,13.829
1118,20.231
1119,47.915
1120,20.155
1121,20.162
1122,13.834
1123,26.353
1124,13.785
1125,26.296
1126,13.784
1127,26.352
1128,13.754
1129,13.834
1130,19.813
1131,13.831
1132,19.783
1133,26.015
1134,20.412
1135,13.764
1136,26.310
1137,13.762
1138,25.935
1139,13.737
1140,13.789
1141,13.853
1142,20.126
1143,13.789
1144,26.000
1145,13.865
1146,19.874
1147,32.695
1148,26.352
1149,20.390
1150,19.528
1151,13.773
1152,19.733
1153,26.261
1154,26.757
1155,20.480
1156,19.537
1157,26.026
1158,13.681
1159,13.610
1160,26.320
1161,20.048
1162,13.786
1163,13.838
1164,13.654
1165,19.773
1166,25.985
1167,32.725
1168,13.788
1169,20.214
1170,21.255
1171,19.817
1172,25.933
1173,13.816
1174,26.683
1175,20.366
1176,33.512
1177,13.746
1178,20.397
1179,26.319
1180,40.620
1181,19.560
1182,20.166
1183,13.671
1184,26.048
1185,33.967
1186,13.753
1187,20.391
1188,19.546
1189,25.946
1190,32.692
1191,19.590
1192,20.196
1193,13.790
1194,25.977
1195,20.177
1196,19.810
1197,20.122
1198,19.467
1199,26.322
1200,19.844
1201,19.548
1202,25.947
1203,32.650
1204,20.392
1205,26.017
1206,13.676
1207,19.850
1208,26.981
1209,25.940
1210,25.964
1211,26.971
1212,20.088
1213,13.749
1214,33.521
1215,13.654
1216,26.246
1217,19.598
1218,19.567
1219,27.006
1220,13.679
1221,20.455
1222,19.608
1223,32.782
1224,19.773
1225,26.709
1226,19.796
1227,26.337
1228,19.577
1229,19.802
1230,13.662
1231,20.374
1232,20.190
1233,20.135
1234,19.788
1235,19.814
1236,20.343
1237,19.521
1238,13.801
1239,20.134
1240,13.729
1241,13.696
1242,26.005
1243,13.736
1244,20.092
1245,20.345
1246,26.268
1247,26.776
1248,19.851
1249,26.050
1250,13.813
1251,26.306
1252,20.495
1253,19.817
1254,26.271
1255,19.570
1256,25.979
1257,26.010
1258,19.788
1259,26.646
1260,13.786
1261,26.057
1262,28.481
1263,19.875
1264,20.170
1265,20.157
1266,20.422
1267,20.452
1268,26.217
1269,20.205
1270,20.277
1271,19.749
1272,20.160
1273,13.785
1274,20.139
1275,20.107
1276,19.776
1277,13.812
1278,13.670
1279,20.192
1280,20.182
1281,13.813
1282,20.124
1283,26.287
1284,20.397
1285,20.142
1286,20.114
1287,26.281
1288,20.176
1289,20.126
1290,20.416
1291,26.269
1292,26.291
